,x
1,1/31/1993
2,2/28/1993
3,3/31/1993
4,4/30/1993
5,5/31/1993
6,6/30/1993
7,7/31/1993
8,8/31/1993
9,9/30/1993
10,10/31/1993
11,11/30/1993
12,12/31/1993
13,1/31/1994
14,2/28/1994
15,3/31/1994
16,4/30/1994
17,5/31/1994
18,6/30/1994
19,7/31/1994
20,8/31/1994
21,9/30/1994
22,10/31/1994
23,11/30/1994
24,12/31/1994
25,1/31/1995
26,2/28/1995
27,3/31/1995
28,4/30/1995
29,5/31/1995
30,6/30/1995
31,7/31/1995
32,8/31/1995
33,9/30/1995
34,10/31/1995
35,11/30/1995
36,12/31/1995
37,1/31/1996
38,2/29/1996
39,3/31/1996
40,4/30/1996
41,5/31/1996
42,6/30/1996
43,7/31/1996
44,8/31/1996
45,9/30/1996
46,10/31/1996
47,11/30/1996
48,12/31/1996
49,1/31/1997
50,2/28/1997
51,3/31/1997
52,4/30/1997
53,5/31/1997
54,6/30/1997
55,7/31/1997
56,8/31/1997
57,9/30/1997
58,10/31/1997
59,11/30/1997
60,12/31/1997
61,1/31/1998
62,2/28/1998
63,3/31/1998
64,4/30/1998
65,5/31/1998
66,6/30/1998
67,7/31/1998
68,8/31/1998
69,9/30/1998
70,10/31/1998
71,11/30/1998
72,12/31/1998
73,1/31/1999
74,2/28/1999
75,3/31/1999
76,4/30/1999
77,5/31/1999
78,6/30/1999
79,7/31/1999
80,8/31/1999
81,9/30/1999
82,10/31/1999
83,11/30/1999
84,12/31/1999
85,1/31/2000
86,2/29/2000
87,3/31/2000
88,4/30/2000
89,5/31/2000
90,6/30/2000
91,7/31/2000
92,8/31/2000
93,9/30/2000
94,10/31/2000
95,11/30/2000
96,12/31/2000
97,1/31/2001
98,2/28/2001
99,3/31/2001
100,4/30/2001
101,5/31/2001
102,6/30/2001
103,7/31/2001
104,8/31/2001
105,9/30/2001
106,10/31/2001
107,11/30/2001
108,12/31/2001
109,1/31/2002
110,2/28/2002
111,3/31/2002
112,4/30/2002
113,5/31/2002
114,6/30/2002
115,7/31/2002
116,8/31/2002
117,9/30/2002
118,10/31/2002
119,11/30/2002
120,12/31/2002
121,1/31/2003
122,2/28/2003
123,3/31/2003
124,4/30/2003
125,5/31/2003
126,6/30/2003
127,7/31/2003
128,8/31/2003
129,9/30/2003
130,10/31/2003
131,11/30/2003
132,12/31/2003
133,1/31/2004
134,2/29/2004
135,3/31/2004
136,4/30/2004
137,5/31/2004
138,6/30/2004
139,7/31/2004
140,8/31/2004
141,9/30/2004
142,10/31/2004
143,11/30/2004
144,12/31/2004
145,1/31/2005
146,2/28/2005
147,3/31/2005
148,4/30/2005
149,5/31/2005
150,6/30/2005
151,7/31/2005
152,8/31/2005
153,9/30/2005
154,10/31/2005
155,11/30/2005
156,12/31/2005
157,1/31/2006
158,2/28/2006
159,3/31/2006
160,4/30/2006
161,5/31/2006
162,6/30/2006
163,7/31/2006
164,8/31/2006
165,9/30/2006
166,10/31/2006
167,11/30/2006
168,12/31/2006
169,1/31/2007
170,2/28/2007
171,3/31/2007
172,4/30/2007
173,5/31/2007
174,6/30/2007
175,7/31/2007
176,8/31/2007
177,9/30/2007
178,10/31/2007
179,11/30/2007
180,12/31/2007
181,1/31/2008
182,2/29/2008
183,3/31/2008
184,4/30/2008
185,5/31/2008
186,6/30/2008
187,7/31/2008
188,8/31/2008
189,9/30/2008
190,10/31/2008
191,11/30/2008
192,12/31/2008
193,1/31/2009
194,2/28/2009
195,3/31/2009
196,4/30/2009
197,5/31/2009
198,6/30/2009
199,7/31/2009
200,8/31/2009
201,9/30/2009
202,10/31/2009
203,11/30/2009
204,12/31/2009
205,1/31/2010
206,2/28/2010
207,3/31/2010
208,4/30/2010
209,5/31/2010
210,6/30/2010
211,7/31/2010
212,8/31/2010
213,9/30/2010
214,10/31/2010
215,11/30/2010
216,12/31/2010
217,1/31/2011
218,2/28/2011
219,3/31/2011
220,4/30/2011
221,5/31/2011
222,6/30/2011
223,7/31/2011
224,8/31/2011
225,9/30/2011
226,10/31/2011
227,11/30/2011
228,12/31/2011
229,1/31/2012
230,2/29/2012
231,3/31/2012
232,4/30/2012
233,5/31/2012
234,6/30/2012
235,7/31/2012
236,8/31/2012
237,9/30/2012
238,10/31/2012
239,11/30/2012
240,12/31/2012
241,1/31/2013
242,2/28/2013
243,3/31/2013
244,4/30/2013
245,5/31/2013
246,6/30/2013
247,7/31/2013
248,8/31/2013
249,9/30/2013
250,10/31/2013
251,11/30/2013
252,12/31/2013
253,1/31/2014
254,2/28/2014
255,3/31/2014
256,4/30/2014
257,5/31/2014
258,6/30/2014
259,7/31/2014
260,8/31/2014
261,9/30/2014
262,10/31/2014
263,11/30/2014
264,12/31/2014
265,1/31/2015
266,2/28/2015
267,3/31/2015
268,4/30/2015
269,5/31/2015
270,6/30/2015
271,7/31/2015
272,8/31/2015
273,9/30/2015
274,10/31/2015
275,11/30/2015
276,12/31/2015
